Flux name	Gene	Flux Description	EC Number	Reaction	Lower Limit	Upper Limit
PIUP1	pstA,pstB,pstC,pstS	Phosphate transport		PIxt --> PI	0	Inf
ATPM		ATP drain flux for constant maintenance requirements		ATP --> ADP + PI	7.6	7.6
Growth		Growth Flux		Biomass --> BMxt + 23 ATP + 23 ADP + 23 PI	0	Inf
VGRO		Biomass Production Flux		41.257 ATP + 3.547 NAD + 18.225 NADPH + 0.205 G6P + 0.0709 F6P + 0.8977 R5P + 0.36 E4P + 0.129 T3P1 + 1.496 3PG + 0.5191 PEP + 2.8328 PYR + 3.7478 ACCOA --> 3.7478 COA + 1.7867 OA + 1.0789 AKG + 41.257 ADP + 41.257 PI + 3.547 NADH + 18.225 NADP + Biomass	0	Inf
ADK1R	adk	Adenylate kinase	2.7.4.3	ATP + AMP <--> 2 ADP	-Inf	Inf
GLCxt		GLC Exchange		GLCxt --> GLC	0	10
O2xt		O2 Exchange		O2xt --> O2	0	20
GLxt		GL Exchange		GL --> GLxt	0	1000
RIBxt		RIB Exchange		RIB --> RIBxt	0	1000
ACxt		AC Exchange		AC --> ACxt	0	1000
LACxt		LAC Exchange		LAC --> LACxt	0	1000
FORxt		FOR Exchange		FOR --> FORxt	0	1000
ETHxt		ETH Exchange		ETH --> ETHxt	0	1000
PYRxt		PYR Exchange		PYR --> PYRxt	0	1000
PIxt		PI Exchange		PI <--> PIxt	-1000	1000
GL3Pxt		GL3P Exchange		GL3P --> GL3Pxt	0	1000
SUCCxt		SUCC Exchange		SUCC --> SUCCxt	0	1000
CO2xt		CO2 Exchange		CO2 <--> CO2xt	-100	1000
BMxt		BM Exchange		BM --> BMxt	0	1000
