Abbreviation	Metabolite Name
SAICAR	5-Phosphoribosyl-4-(N-succinocarboxyamide)-5-amino-imidazole
SAM	S-Adenosyl methionine
SAMOB	S-Adenosyl-4-methylthio-2-oxobutanoate
SER	Serine
SERxt	Extrenal Serine
SERA	L-Seryl-adenylate
SHCHC	2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate
SHCL	Sirohydrochlorin
SHEME	Siroheme
SLA	Sialic acid
SLAxt	External Sialic acid
SLF	Sulfate
SLFxt	External Sulfate
SME	Shikimate
SME5P	Shikimate-5-phosphate
SPMD	Spermidine
SPMDxt	External Speridine
SSALTPP	Succinate semialdehyde - thiamine pyrophosphate
SUC6P	Sucrose 6-phosphate
SUCxt	External Sucrose
SUCC	Succinate
SUCCxt	External Succinate
SUCCOA	Succinyl-CoA or Succinate CoA 
SUCCSAL	Succinate semialdehyde
T3P1	Glyceraldehyde 3-phosphate
T3P2	Dihydroxyacetone phosphate or glycerone phosphate
TAG16P	Tagatose-1,6 diphosphate
TAG6P	Tagatose-6-phosphate
THF	Tetrahydrofolate
THIAMIN	Thiamin
THMP	Thiamine-phosphate
THR	Threonine
THRxt	External Threonine
THY	Thymine
THZ	4-Methyl-5-(beta-hydroxyethyl)thiazole
THZP	4-Methyl-5-(beta-hydroxyethyl)thiazole phosphate
TPP	Thiamine-pyrophosphate
TRPxt	External Thiamine-pyrophosphate 
TRE6P	Trehalose 6-phosphate
TRExt	External Trehalose
TRP	Tryptophan
TRPxt	External Tryptophan
TYR	Tyrosine
TYRxt	External Tyrosine
UDP	Uridine diphosphate
UDPG	UDP Glucose
UDPG23A	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine
UDPG2A	UDP-3-O-(3-hydroxytetradecanoyl)glucosamine
UDPG2AA	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
UDPGAL	UDP Galactose
UDPNAG	UDP N-acetyl glucosamine
UDPNAGEP	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine
UDPNAM	UDP-N-acetyl-D-muramate
UDPNAMA	UDP-N-acetylmuramoyl-L-alanine
UDPNAMAG	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
UDPP	Undecaprenyl pyrophosphate
UMP	Uridine monophosphate
UNAGD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate
UNAGDA	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate- D-alanyl-D-alanine
UNPTDO	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate- D-alanyl-D-alanine- diphosphoundecaprenol
UPRG	Uroporphyrinogen III
URA	Uracil
URAxt	External Uracil
UREA	Urea
UREAxt	External Urea
URI	Uridine
URIxt	External Uridine
UTP	Uridine triphosphate
VAL	Valine
VALxt	External Valine
X5P	D-Xylulose-5-phosphate
XAN	Xanthine
XANxt	External Xanthine
XMP	Xantosine monophosphate
XTSN	Xanthosine
XTSNxt	External Xanthosine
XUL	D-Xylulose 
XYL	D-Xylose
XYLxt	External D-Xylose	
